Sl. No.,topic_number,lesson_code,lesson_title,conceptual_focus,lesson_description,skill_emphasis,assessment_context,difficulty_level,learning_outcome,content_type,title,content
94,AHL 1.16,AHL 1.16b,Matrix Methods and Row Reduction,Using matrices and row reduction to solve systems of linear equations.,"Students learn matrix representation of systems, row reduction techniques, and technological methods for solving linear systems.","Represent, reduce, solve",Paper 1 (matrix methods),7 / 10,Students should be able to use matrix methods and row reduction to solve systems of linear equations.,concepts,Why Matrices for Systems?,Matrices organize coefficients systematically. Row operations = algebraic manipulations. RREF makes solution obvious. Scalable: same method works for 2 or 200 equations! GDC/calculator does heavy lifting for large systems. Understanding process crucial even when using technology. Foundation for linear algebra and computer science.
96,AHL 1.16,AHL 1.16c,General Solutions and Inconsistent Systems,Understanding general solutions for systems with infinite solutions and identifying inconsistent systems.,Students learn to find general solutions for systems with infinitely many solutions and recognize when systems have no solutions.,"Find, recognize, interpret",Paper 1 (solution analysis),7 / 10,Students should be able to find general solutions and identify inconsistent systems of linear equations.,concepts,Understanding Solution Sets,"Infinite solutions: underdetermined system (more unknowns than equations or dependent equations). Express with parameters. No solution: contradictory equations (parallel planes never meet). Recognize from row of zeros equaling nonzero. Real applications: engineering constraints, economics optimization. Understanding solution types crucial for modeling."
98,SL 2.1,SL 2.1a,Equations of Straight Lines,Understanding different forms of linear equations and their applications.,"Students learn y = mx + c, ax + by + d = 0, and y - y₁ = m(x - x₁) forms, connecting to real-world contexts like gradients of roads.","Understand, apply, connect",Paper 1 (linear equations),3 / 10,Students should be able to write equations of straight lines in various forms and apply them to real-world problems.,concepts,Choosing the Right Form,"Different forms useful for different purposes. $y = mx + c$: see gradient and intercept immediately. Point-gradient: when you know a point and slope. General form: standard, works for vertical lines ($x = k$). Real context: road gradient (m), initial value (c). Converting between forms develops algebraic fluency."
100,SL 2.1,SL 2.1b,Gradients and Intercepts,"Understanding and calculating gradients, intercepts, and their geometric meaning.","Students learn to find gradients, x and y intercepts, and understand their significance in linear relationships and real contexts.","Calculate, interpret, apply",Paper 1 (gradient analysis),4 / 10,Students should be able to calculate gradients and intercepts and interpret their meaning in various contexts.,concepts,Meaning of Gradient and Intercepts,"Gradient = rate of change. Positive: increasing; negative: decreasing. Steeper = larger |m|. y-intercept = starting value when $x=0$. Real contexts: $m$ = speed (distance vs time), cost per item (total vs quantity); $c$ = fixed cost, initial height. Understanding these meanings essential for modeling and interpretation."
102,SL 2.1,SL 2.1c,Parallel and Perpendicular Lines,Understanding the relationships between gradients of parallel and perpendicular lines.,"Students learn m₁ = m₂ for parallel lines and m₁ × m₂ = -1 for perpendicular lines, applying to geometric and real-world problems.","Understand, apply, solve",Paper 1 (line relationships),4 / 10,Students should be able to determine and use relationships between gradients of parallel and perpendicular lines.,concepts,Geometric Relationships,"Parallel: never intersect, same steepness. Perpendicular: intersect at 90°, gradients are negative reciprocals. If $m_1 = 3$, then $m_2 = -\frac{1}{3}$ for perpendicular. Special cases: horizontal ($m=0$) perpendicular to vertical (undefined $m$). Applications: geometry problems, coordinate proofs, architecture, engineering."
104,SL 2.2,SL 2.2a,Concept of Functions,Understanding the fundamental concept of functions as mathematical models.,"Students explore function notation f(x), domain, range, and the concept of functions as mappings from inputs to outputs.","Understand, define, represent",Paper 1 (function concepts),3 / 10,Students should be able to understand and represent functions using appropriate notation and identify their domains and ranges.,concepts,Understanding Functions,"Function = rule assigning each input to exactly one output. 'Machine' analogy: input → process → output. NOT a function if one input gives multiple outputs (vertical line test fails). Domain restrictions: can't divide by zero, can't take $\sqrt{\text{negative}}$ (in reals). Functions model relationships: temperature vs time, cost vs quantity."
106,SL 2.2,SL 2.2b,Inverse Functions,Understanding the concept and properties of inverse functions.,"Students learn about one-to-one functions, inverse notation f⁻¹(x), and the relationship between a function and its inverse.","Understand, find, relate",Paper 1 (inverse functions),4 / 10,Students should be able to understand inverse functions and find inverses of one-to-one functions.,concepts,Inverse Function Properties,"Inverse 'undoes' the function. $f(f^{-1}(x)) = x$ and $f^{-1}(f(x)) = x$. Only one-to-one functions have inverses (horizontal line test). Domain of $f$ = range of $f^{-1}$ and vice versa. Graphs: $f$ and $f^{-1}$ are reflections in line $y=x$. Essential concept: encoding/decoding, temperature conversion."
108,SL 2.2,SL 2.2c,Graphical Representation of Functions,Understanding how to represent functions graphically and interpret their features.,"Students learn to sketch functions, understand the relationship between f(x) and f⁻¹(x) as reflections in y = x, and interpret graphs.","Sketch, interpret, relate",Paper 1 (graphical representation),4 / 10,Students should be able to sketch functions and understand the graphical relationship between functions and their inverses.,concepts,Reading Graphs Effectively,"Graph shows ALL function behavior at once. Sketch (label key features) vs accurate plot. Interpret: where increasing/decreasing, positive/negative. Inverse graphs: if point $(a,b)$ on $f$, then $(b,a)$ on $f^{-1}$. Visual understanding complements algebraic—see patterns, predict behavior. Essential skill for modeling and analysis."
110,SL 2.3,SL 2.3a,Graphing Functions and Technology,Using technology to graph functions and understanding the equation y = f(x).,"Students learn to use graphing technology, transfer graphs from screen to paper, and understand the difference between 'draw' and 'sketch'.","Use technology, transfer, understand",Paper 1 (graphing skills),4 / 10,Students should be able to use technology to graph functions and transfer graphical information accurately.,concepts,Technology as a Tool,"GDC reveals function behavior quickly. Adjust window to see relevant features. Technology explores 'what if' scenarios. BUT: understand mathematics, don't just press buttons! Sketch should communicate understanding—label axes, scale, key points. In exams: technology allowed on Paper 2, often restricted on Paper 1. Practice both ways."
112,SL 2.3,SL 2.3b,Creating Sketches from Information,Developing skills to create function sketches from given information or context.,"Students learn to sketch functions from verbal descriptions, context clues, and mathematical information, labeling all key features.","Sketch, label, interpret",Paper 1 (sketching skills),5 / 10,Students should be able to create accurate function sketches from given information and context.,concepts,From Words to Graph,"Context gives clues: 'initial value' → y-intercept; 'decreasing' → negative gradient; 'levels off' → horizontal asymptote. Real scenario: population growth starts slow, increases rapidly, then levels (logistic curve). Sketching tests understanding—can you visualize the mathematics? Communication skill: your sketch tells the story. Practice converting verbal descriptions to visual representations."
